DANH SÁCH TRẠM QUAN TRẮC THEO TỈNH THÀNH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1.0,Bình Dương,Trạm khí tượng Trung tâm Bình Dương 2,Quận 1,10.9804,106.6519,445.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Dương,Trạm đo Trung tâm Bình Dương,Quận 1,10.9804,106.6519,82.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Dương,Đài Tây Bình Dương 3,Quận 3,10.9804,106.6519,51.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Dương:,-8,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Phước,Trạm khí tượng Tây Bình Phước,Quận 1,11.5349,106.8823,128.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Phước,Trạm khí tượng Vùng núi Bình Phước 7,Quận 1,11.5349,106.8823,162.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Phước,Trạm quan trắc Nam Bình Phước 5,Quận 1,11.5349,106.8823,132.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Phước,Trạm quan trắc Trung tâm TP Bình Phước 4,Huyện A,11.5349,106.8823,471.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Phước,Trạm quan trắc Tây Bình Phước 2,Quận 1,11.5349,106.8823,165.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bình Phước,Trạm đo Đông Bình Phước 8,Thành phố,11.5349,106.8823,328.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Bình Phước,Đài Trung tâm TP Bình Phước 6,Quận 1,11.5349,106.8823,257.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Bình Phước,Đài Vùng núi Bình Phước 3,Quận 1,11.5349,106.8823,208.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Phước:,-6,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Thuận,Trạm Bắc Bình Thuận 3,Quận 1,10.9333,108.1,159.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Thuận,Trạm Nam Bình Thuận 4,Huyện B,10.9333,108.1,238.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Thuận,Trạm quan trắc Vùng núi Bình Thuận 2,Quận 1,10.9333,108.1,345.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Thuận,Đài Trung tâm Bình Thuận 5,Quận 3,10.9333,108.1,280.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Thuận,Đài Ven biển Bình Thuận,Thị xã,10.9333,108.1,455.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Thuận:,-12,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bình Định,Trạm Bắc Bình Định 2,Huyện A,13.7667,109.2333,449.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bình Định,Trạm Ven biển Bình Định,Huyện A,13.7667,109.2333,51.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bình Định,Trạm quan trắc Trung tâm Bình Định 7,Quận 2,13.7667,109.2333,298.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bình Định,Trạm quan trắc Tây Bình Định 3,Thị xã,13.7667,109.2333,496.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bình Định,Trạm quan trắc Tây Bình Định 5,Huyện B,13.7667,109.2333,172.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bình Định,Trạm quan trắc Đông Bình Định 6,Quận 1,13.7667,109.2333,225.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Bình Định,Đài Ngoại thành Bình Định 4,Quận 2,13.7667,109.2333,227.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bình Định:,-13,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bạc Liêu,Trạm khí tượng Vùng núi Bạc Liêu 3,Quận 1,9.2833,105.7167,269.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bạc Liêu,Trạm quan trắc Bắc Bạc Liêu 2,Quận 1,9.2833,105.7167,333.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bạc Liêu,Đài Ngoại thành Bạc Liêu,Quận 3,9.2833,105.7167,304.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bạc Liêu:,-20,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bắc Giang,Trạm khí tượng Nam Bắc Giang 5,Quận 1,21.2814,106.1975,370.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bắc Giang,Trạm Đông Bắc Giang,Quận 1,21.2814,106.1975,469.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bắc Giang,Trạm Đông Bắc Giang 4,Quận 2,21.2814,106.1975,372.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bắc Giang,Trạm đo Trung tâm Bắc Giang 3,Huyện B,21.2814,106.1975,43.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bắc Giang,Đài Tây Bắc Giang 2,Huyện A,21.2814,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bắc Giang:,-21,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bắc Kạn,Trạm khí tượng Vùng núi Bắc Kạn 4,Quận 1,22.15,105.8333,11.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bắc Kạn,Trạm quan trắc Nam Bắc Kạn 3,Thành phố,22.15,105.8333,189.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bắc Kạn,Trạm quan trắc Tây Bắc Kạn 6,Quận 3,22.15,105.8333,12.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bắc Kạn,Trạm đo Trung tâm Bắc Kạn,Quận 2,22.15,105.8333,148.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bắc Kạn,Đài Ngoại thành Bắc Kạn 5,Quận 1,22.15,105.8333,69.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bắc Kạn,Đài Ven biển Bắc Kạn 7,Huyện A,22.15,105.8333,301.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Bắc Kạn,Đài Vùng núi Bắc Kạn 2,Thị xã,22.15,105.8333,190.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bắc Kạn:,-22,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bắc Ninh,Trạm Tây Bắc Ninh 5,Huyện B,21.1214,106.1111,388.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bắc Ninh,Trạm quan trắc Bắc Bắc Ninh,Quận 2,21.1214,106.1111,424.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bắc Ninh,Trạm quan trắc Ven biển Bắc Ninh 2,Quận 1,21.1214,106.1111,385.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bắc Ninh,Trạm quan trắc Vùng núi Bắc Ninh 3,Quận 3,21.1214,106.1111,91.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bắc Ninh,Trạm đo Bắc Bắc Ninh 4,Thị xã,21.1214,106.1111,167.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bắc Ninh,Trạm đo Bắc Bắc Ninh 7,Quận 1,21.1214,106.1111,87.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Bắc Ninh,Đài Ven biển Bắc Ninh 6,Thành phố,21.1214,106.1111,151.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bắc Ninh:,-25,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bến Tre,Trạm Bắc Bến Tre 5,Thành phố,10.2333,106.3833,278.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bến Tre,Trạm Tây Bến Tre 2,Quận 1,10.2333,106.3833,245.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bến Tre,Trạm khí tượng Ngoại thành Bến Tre 3,Huyện A,10.2333,106.3833,83.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Bến Tre,Trạm khí tượng Tây Bến Tre,Quận 1,10.2333,106.3833,338.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Bến Tre,Trạm khí tượng Tây Bến Tre 6,Quận 1,10.2333,106.3833,72.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Bến Tre,Trạm quan trắc Tây Bến Tre 4,Thị xã,10.2333,106.3833,386.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bến Tre:,-29,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Cao Bằng,Trạm khí tượng Trung tâm Cao Bằng 3,Thị xã,22.6667,106.25,48.0,Khí tượng thủy văn,vrain.vn (thu thập)
2.0,Cao Bằng,Trạm quan trắc Trung tâm Cao Bằng 4,Quận 1,22.6667,106.25,96.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Cao Bằng,Trạm đo Trung tâm TP Cao Bằng,Quận 1,22.6667,106.25,500.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Cao Bằng,Đài Nam Cao Bằng 2,Quận 3,22.6667,106.25,480.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Cao Bằng,Đài Đông Cao Bằng 5,Quận 1,22.6667,106.25,193.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Cao Bằng:,-33,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Cà Mau,Trạm quan trắc Ngoại thành Cà Mau,Quận 1,9.1769,105.1521,460.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Cà Mau,Trạm quan trắc Trung tâm TP Cà Mau 4,Huyện A,9.1769,105.1521,246.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Cà Mau,Trạm đo Vùng núi Cà Mau 3,Quận 2,9.1769,105.1521,221.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Cà Mau,Trạm đo Đông Cà Mau 2,Huyện B,9.1769,105.1521,213.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Cà Mau,Đài Vùng núi Cà Mau 5,Huyện A,9.1769,105.1521,263.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Cà Mau:,-36,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Cần Thơ,Trạm Trung tâm Cần Thơ 7,Thành phố,10.0452,105.7469,153.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Cần Thơ,Trạm khí tượng Ven biển Cần Thơ 6,Huyện B,10.0452,105.7469,119.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Cần Thơ,Trạm quan trắc Tây Cần Thơ 2,Huyện B,10.0452,105.7469,371.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Cần Thơ,Trạm Đông Cần Thơ 4,Quận 2,10.0452,105.7469,181.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Cần Thơ,Trạm Đông Cần Thơ 5,Huyện A,10.0452,105.7469,361.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Cần Thơ,Trạm đo Ngoại thành Cần Thơ 3,Quận 3,10.0452,105.7469,444.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Cần Thơ,Trạm đo Đông Cần Thơ 8,Quận 1,10.0452,105.7469,464.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Cần Thơ,Đài Bắc Cần Thơ,Quận 1,10.0452,105.7469,240.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Cần Thơ:,-36,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Gia Lai,Trạm Ngoại thành Gia Lai 4,Quận 3,13.9833,108.0,422.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Gia Lai,Trạm khí tượng Tây Gia Lai,Thành phố,13.9833,108.0,91.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Gia Lai,Trạm quan trắc Ngoại thành Gia Lai 3,Thành phố,13.9833,108.0,388.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Gia Lai,Trạm đo Trung tâm Gia Lai 2,Quận 3,13.9833,108.0,229.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Gia Lai:,-43,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Giang,Trạm quan trắc Ngoại thành Hà Giang 3,Quận 1,22.8233,104.9836,113.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Giang,Trạm quan trắc Trung tâm TP Hà Giang 7,Quận 1,22.8233,104.9836,35.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Giang,Trạm Đông Hà Giang 5,Quận 2,22.8233,104.9836,164.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Giang,Trạm Đông Hà Giang 8,Huyện A,22.8233,104.9836,313.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hà Giang,Trạm đo Nam Hà Giang 2,Huyện B,22.8233,104.9836,313.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hà Giang,Trạm đo Ngoại thành Hà Giang,Quận 1,22.8233,104.9836,262.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hà Giang,Đài Trung tâm Hà Giang 4,Quận 1,22.8233,104.9836,285.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Hà Giang,Đài Trung tâm TP Hà Giang 6,Huyện A,22.8233,104.9836,4.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Giang:,-42,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Nam,Trạm Nam Hà Nam,Quận 1,20.5411,105.9139,109.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Nam,Trạm quan trắc Ngoại thành Hà Nam 8,Quận 1,20.5411,105.9139,114.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Nam,Trạm quan trắc Trung tâm Hà Nam 5,Huyện B,20.5411,105.9139,276.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Nam,Trạm quan trắc Ven biển Hà Nam 3,Thị xã,20.5411,105.9139,493.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hà Nam,Trạm Đông Hà Nam 6,Thành phố,20.5411,105.9139,398.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hà Nam,Trạm đo Bắc Hà Nam 4,Quận 2,20.5411,105.9139,384.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hà Nam,Trạm đo Vùng núi Hà Nam 2,Thị xã,20.5411,105.9139,387.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Hà Nam,Đài Trung tâm TP Hà Nam 7,Quận 1,20.5411,105.9139,319.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Nam:,-45,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Nội,Trạm Bắc Hà Nội 2,Thị xã,21.0285,105.8542,360.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Nội,Trạm khí tượng Bắc Hà Nội 3,Quận 1,21.0285,105.8542,276.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Nội,Trạm đo Tây Hà Nội 4,Quận 2,21.0285,105.8542,393.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Nội,Đài Tây Hà Nội 5,Quận 3,21.0285,105.8542,287.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hà Nội,Đài Đông Hà Nội,Quận 1,21.0285,105.8542,371.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Nội:,-51,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hà Tĩnh,Trạm Nam Hà Tĩnh 3,Huyện B,18.3333,105.9,479.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hà Tĩnh,Trạm khí tượng Ngoại thành Hà Tĩnh 2,Quận 1,18.3333,105.9,497.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hà Tĩnh,Trạm quan trắc Ngoại thành Hà Tĩnh 4,Quận 1,18.3333,105.9,483.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hà Tĩnh,Trạm quan trắc Ven biển Hà Tĩnh,Quận 1,18.3333,105.9,13.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hà Tĩnh:,-55,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hòa Bình,Trạm Nam Hòa Bình 3,Thành phố,20.8133,105.3383,420.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hòa Bình,Trạm Tây Hòa Bình 4,Quận 1,20.8133,105.3383,2.0,Khí tượng thủy văn,vrain.vn (thu thập)
3.0,Hòa Bình,Trạm Ven biển Hòa Bình 8,Quận 1,20.8133,105.3383,480.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hòa Bình,Trạm quan trắc Bắc Hòa Bình 2,Quận 1,20.8133,105.3383,27.0,Khí tượng thủy văn,vrain.vn (thu thập)
5.0,Hòa Bình,Trạm đo Trung tâm Hòa Bình 7,Thành phố,20.8133,105.3383,83.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hòa Bình,Trạm đo Tây Hòa Bình,Quận 1,20.8133,105.3383,103.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hòa Bình,Đài Vùng núi Hòa Bình 5,Quận 1,20.8133,105.3383,499.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Hòa Bình,Đài Vùng núi Hòa Bình 6,Quận 2,20.8133,105.3383,269.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hòa Bình:,-54,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hưng Yên,Trạm Tây Hưng Yên 3,Huyện B,20.6461,106.0511,490.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hưng Yên,Trạm khí tượng Ngoại thành Hưng Yên 2,Huyện B,20.6461,106.0511,409.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hưng Yên,Trạm quan trắc Trung tâm Hưng Yên,Quận 1,20.6461,106.0511,227.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hưng Yên:,-62,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hải Dương,Trạm Ven biển Hải Dương 3,Quận 1,20.9397,106.3308,4.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hải Dương,Đài Trung tâm TP Hải Dương 2,Quận 1,20.9397,106.3308,384.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hải Dương,Đài Ven biển Hải Dương,Quận 1,20.9397,106.3308,53.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hải Dương,Đài Ven biển Hải Dương 4,Huyện B,20.9397,106.3308,484.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hải Dương:,-64,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hải Phòng,Trạm khí tượng Tây Hải Phòng,Quận 3,20.8449,106.6881,467.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hải Phòng,Trạm khí tượng Vùng núi Hải Phòng 2,Quận 1,20.8449,106.6881,260.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hải Phòng,Trạm quan trắc Trung tâm Hải Phòng 3,Thị xã,20.8449,106.6881,261.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hải Phòng,Trạm đo Ngoại thành Hải Phòng 4,Quận 3,20.8449,106.6881,470.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hải Phòng:,-67,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hậu Giang,Trạm Bắc Hậu Giang,Thị xã,9.7833,105.4667,264.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hậu Giang,Trạm Trung tâm Hậu Giang 5,Huyện B,9.7833,105.4667,350.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hậu Giang,Trạm Ven biển Hậu Giang 2,Quận 1,9.7833,105.4667,4.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hậu Giang,Trạm khí tượng Bắc Hậu Giang 6,Quận 3,9.7833,105.4667,252.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hậu Giang,Trạm khí tượng Ngoại thành Hậu Giang 3,Quận 3,9.7833,105.4667,293.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hậu Giang,Trạm khí tượng Vùng núi Hậu Giang 7,Thành phố,9.7833,105.4667,207.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hậu Giang,Trạm đo Bắc Hậu Giang 4,Quận 1,9.7833,105.4667,263.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hậu Giang:,-67,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Khánh Hòa,Trạm Bắc Khánh Hòa,Quận 1,12.25,109.1833,386.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Khánh Hòa,Trạm Bắc Khánh Hòa 3,Huyện B,12.25,109.1833,470.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Khánh Hòa,Trạm khí tượng Bắc Khánh Hòa 7,Quận 2,12.25,109.1833,230.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Khánh Hòa,Trạm khí tượng Vùng núi Khánh Hòa 8,Thành phố,12.25,109.1833,273.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Khánh Hòa,Trạm quan trắc Ven biển Khánh Hòa 2,Quận 1,12.25,109.1833,302.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Khánh Hòa,Trạm quan trắc Đông Khánh Hòa 4,Huyện B,12.25,109.1833,444.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Khánh Hòa,Trạm đo Trung tâm Khánh Hòa 5,Quận 3,12.25,109.1833,447.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Khánh Hòa,Trạm đo Tây Khánh Hòa 6,Thành phố,12.25,109.1833,227.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Khánh Hòa:,-69,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Kiên Giang,Trạm Trung tâm TP Kiên Giang 5,Thành phố,10.0317,105.0809,280.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Kiên Giang,Trạm khí tượng Tây Kiên Giang,Huyện B,10.0317,105.0809,129.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Kiên Giang,Trạm khí tượng Tây Kiên Giang 3,Quận 1,10.0317,105.0809,238.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Kiên Giang,Trạm quan trắc Trung tâm Kiên Giang 2,Huyện B,10.0317,105.0809,420.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Kiên Giang,Đài Trung tâm TP Kiên Giang 4,Quận 1,10.0317,105.0809,63.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Kiên Giang:,-75,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Kon Tum,Trạm Bắc Kon Tum,Quận 2,14.3833,107.9833,46.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
