DANH SÁCH TRẠM QUAN TRẮC THEO TỈNH THÀNH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2.0,Hòa Bình,Trạm khí tượng Vùng núi Hòa Bình 2,Quận 1,20.8133,105.3383,459.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hòa Bình,Trạm quan trắc Trung tâm TP Hòa Bình 5,Huyện A,20.8133,105.3383,20.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hòa Bình,Trạm quan trắc Ven biển Hòa Bình,Thành phố,20.8133,105.3383,341.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hòa Bình,Trạm quan trắc Ven biển Hòa Bình 8,Thành phố,20.8133,105.3383,193.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hòa Bình,Trạm quan trắc Đông Hòa Bình 3,Quận 2,20.8133,105.3383,233.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hòa Bình,Trạm đo Trung tâm TP Hòa Bình 6,Quận 2,20.8133,105.3383,413.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Hòa Bình,Đài Ven biển Hòa Bình 7,Thị xã,20.8133,105.3383,109.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hòa Bình:,-54,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hưng Yên,Trạm khí tượng Ven biển Hưng Yên 5,Thị xã,20.6461,106.0511,264.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hưng Yên,Trạm khí tượng Đông Hưng Yên 3,Thành phố,20.6461,106.0511,260.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hưng Yên,Trạm đo Ven biển Hưng Yên 4,Thành phố,20.6461,106.0511,34.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hưng Yên,Trạm đo Đông Hưng Yên 2,Huyện A,20.6461,106.0511,160.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hưng Yên,Đài Trung tâm TP Hưng Yên 6,Thành phố,20.6461,106.0511,363.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hưng Yên,Đài Đông Hưng Yên,Thành phố,20.6461,106.0511,357.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hưng Yên:,-59,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hải Dương,Trạm Bắc Hải Dương,Thành phố,20.9397,106.3308,207.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hải Dương,Trạm Trung tâm Hải Dương 2,Thành phố,20.9397,106.3308,143.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hải Dương,Trạm đo Đông Hải Dương 3,Quận 3,20.9397,106.3308,287.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hải Dương:,-65,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hải Phòng,Trạm Ngoại thành Hải Phòng 5,Thành phố,20.8449,106.6881,214.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hải Phòng,Trạm khí tượng Đông Hải Phòng 6,Thành phố,20.8449,106.6881,184.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hải Phòng,Trạm quan trắc Nam Hải Phòng 4,Huyện A,20.8449,106.6881,49.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hải Phòng,Trạm quan trắc Tây Hải Phòng 7,Thị xã,20.8449,106.6881,215.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hải Phòng,Trạm quan trắc Đông Hải Phòng,Huyện A,20.8449,106.6881,19.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hải Phòng,Trạm đo Tây Hải Phòng 3,Thành phố,20.8449,106.6881,394.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hải Phòng,Trạm đo Đông Hải Phòng 2,Huyện B,20.8449,106.6881,41.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,Hải Phòng,Đài Vùng núi Hải Phòng 8,Thành phố,20.8449,106.6881,310.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hải Phòng:,-63,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Hậu Giang,Trạm Trung tâm Hậu Giang 4,Thị xã,9.7833,105.4667,202.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Hậu Giang,Trạm quan trắc Trung tâm Hậu Giang 3,Huyện A,9.7833,105.4667,185.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Hậu Giang,Trạm quan trắc Trung tâm Hậu Giang 5,Thành phố,9.7833,105.4667,420.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Hậu Giang,Trạm quan trắc Trung tâm TP Hậu Giang,Quận 1,9.7833,105.4667,214.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Hậu Giang,Trạm Đông Hậu Giang 6,Huyện A,9.7833,105.4667,160.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Hậu Giang,Đài Nam Hậu Giang 2,Thành phố,9.7833,105.4667,497.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Hậu Giang,Đài Tây Hậu Giang 7,Thị xã,9.7833,105.4667,181.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Hậu Giang:,-67,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Khánh Hòa,Trạm Trung tâm TP Khánh Hòa,Huyện A,12.25,109.1833,108.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Khánh Hòa,Trạm khí tượng Nam Khánh Hòa 3,Thành phố,12.25,109.1833,179.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Khánh Hòa,Trạm quan trắc Ngoại thành Khánh Hòa 4,Thị xã,12.25,109.1833,224.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Khánh Hòa,Trạm quan trắc Ngoại thành Khánh Hòa 5,Thành phố,12.25,109.1833,415.0,Khí tượng thủy văn,vrain.vn (thu thập)
5.0,Khánh Hòa,Đài Nam Khánh Hòa 2,Thành phố,12.25,109.1833,302.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Khánh Hòa,Đài Ngoại thành Khánh Hòa 6,Thành phố,12.25,109.1833,445.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Khánh Hòa:,-71,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Kiên Giang,Trạm Trung tâm TP Kiên Giang 3,Huyện B,10.0317,105.0809,332.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Kiên Giang,Trạm Vùng núi Kiên Giang 4,Quận 2,10.0317,105.0809,263.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Kiên Giang,Trạm khí tượng Bắc Kiên Giang 2,Quận 2,10.0317,105.0809,309.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Kiên Giang,Trạm khí tượng Trung tâm Kiên Giang,Thành phố,10.0317,105.0809,454.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Kiên Giang:,-76,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Kon Tum,Trạm Nam Kon Tum 2,Quận 2,14.3833,107.9833,352.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Kon Tum,Trạm Vùng núi Kon Tum,Thành phố,14.3833,107.9833,280.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Kon Tum,Trạm Vùng núi Kon Tum 5,Thành phố,14.3833,107.9833,280.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,Kon Tum,Trạm quan trắc Ven biển Kon Tum 7,Huyện B,14.3833,107.9833,398.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,Kon Tum,Trạm Đông Kon Tum 6,Thành phố,14.3833,107.9833,449.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,Kon Tum,Đài Ngoại thành Kon Tum 3,Thị xã,14.3833,107.9833,452.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,Kon Tum,Đài Ven biển Kon Tum 4,Huyện A,14.3833,107.9833,475.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Kon Tum:,-76,Thành phố,15.81295,106.3308,258.5,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Lai Châu,Trạm Bắc Lai Châu 2,Quận 2,22.4,103.45,349.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Lai Châu,Trạm Trung tâm Lai Châu 8,Huyện B,22.4,103.45,343.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
