Tỉnh,Trạm,Xã/Phường,Lượng mưa (mm),Tình trạng,Ngày và giờ cập nhật,Thời gian crawl
Tuyên Quang,Tân Nam 1,xã Quang Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Phong,xã Bắc Mê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thượng Sơn 2,xã Thượng Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tiên Nguyên 1,xã Tiên Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phú Nam 2,xã Đường Hồng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Minh Quang,xã Minh Quang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Ngam La 2,xã Mậu Duệ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Phú,xã Bắc Mê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tùng Bá 2,xã Tùng Bá,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thanh Thủy,xã Thanh Thủy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tùng Bá 1,xã Tùng Bá,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bạch Ngọc 2,xã Bạch Ngọc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Du Già 2,xã Du Già,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Xuân Minh 2,xã Thông Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Ngò,xã Pà Vầy Sủ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Bình,xã Quang Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Nam 2,xã Quang Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Minh Sơn 1,xã Minh Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thàng Tín,xã Thàng Tín,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Minh 1,xã Yên Minh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Phùng,xã Bản Máy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Cao Bồ 1,xã Cao Bồ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Díu,xã Xín Mần,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Ngần,xã Việt Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thanh Đức,xã Lao Chải,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đồng Tâm,xã Đồng Tâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Lũng Hồ 1,xã Đường Thượng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Lập 1,xã Tân Quang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nậm Khòa,xã Hồ Thầu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Cường,xã Yên Cường,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Sơn Nam,xã Sơn Thủy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Vĩnh Phúc,xã Đồng Yên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Nhùng,xã Tân Tiến,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thuận Hòa,xã Thuận Hòa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nàng Đôn,xã Pờ Ly Ngài,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Mậu Long,xã Mậu Duệ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Kim Quan,xã Tân Trào,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nậm Ty,xã Nậm Dịch,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Lập 2,xã Tân Quang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tiên Nguyên 2,xã Tiên Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Ngọc Long,xã Ngọc Long,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Ngam La 1,xã Mậu Duệ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Chiến Phố,xã Bản Máy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phương Độ,phường Hà Giang 1,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Định,xã Ngọc Đường,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Quảng Ngần,xã Việt Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Lạc Nông 1,xã Bắc Mê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Minh Sơn 2,xã Minh Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Du Già 3,xã Du Già,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hồ Thầu 2,xã Hồ Thầu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thượng Sơn 1,xã Thượng Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đông Hà 2,xã Lùng Tám,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Việt Vinh,xã Bắc Quang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Giáp Trung,xã Giáp Trung,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phú Nam 1,xã Đường Hồng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Việt Lâm,xã Việt Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Quản Bạ,xã Quản Bạ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Lăng Can 1,xã Lâm Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bạch Ngọc 1,xã Bạch Ngọc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Hoa,xã Yên Hoa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Péo,xã Nậm Dịch,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Cốc Rế,xã Trung Thịnh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Chế Là,xã Nấm Dẩn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Kỳ Lâm,xã Sơn Dương,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thái An,xã Lùng Tám,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Cao Bồ 2,xã Cao Bồ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nấm Dẩn 2,xã Nấm Dẩn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Linh Hồ,xã Linh Hồ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nậm Ban 2,xã Tát Ngà,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Xuân Giang 1,xã Xuân Giang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Mèo Vạc,xã Mèo Vạc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nậm Dịch,xã Nậm Dịch,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hồ Thầu 1,xã Hồ Thầu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Rịa,xã Yên Thành,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nậm Ban 1,xã Tát Ngà,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Quảng Nguyên,xã Quảng Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đạo Viện 1,xã Trung Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Vĩ Thượng,xã Tiên Yên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Xuân Lập,xã Lâm Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đông Hà 1,xã Lùng Tám,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Xuân Minh 1,xã Thông Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Túng Sán,xã Tân Tiến,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Trung Thành,xã Linh Hồ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Bản Mế,xã Sín Chéng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Thượng Hà 1,xã Thượng Hà,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Nậm Xé,xã Nậm Xé,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Túc Đán 2,xã Trạm Tấu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Nậm Mười 2,xã Sơn Lương,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Nậm Búng 2,xã Gia Hội,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Âu Lâu,phường Âu Lâu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Yên Sơn,xã Bảo Yên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,An Bình,xã Đông Cuông,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Túc Đán,xã Trạm Tấu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,An Lạc,xã Khánh Hòa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Tân Nguyên,xã Bảo Ái,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Hoàng Liên,xã Tả Van,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Lào Cai,Cốc Ly,xã Bảo Nhai,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
