Tỉnh/Thành phố,Tên trạm,Huyện,Tổng lượng mưa,Tình trạng,Dấu thời gian,Thời gian cập nhập
Lâm Đồng,"Quảng Thành, Gia Nghĩa",phường Bắc Gia Nghĩa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đắk Sôr, Krông Nô",xã Nam Đà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nghĩa Trung, Gia Nghĩa",phường Đông Gia Nghĩa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Quảng Hòa, Đắk G'Long",xã Quảng Hòa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Gia An,xã Tánh Linh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Đức,xã Tân Minh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk N'Drot, Đăk Mil",xã Đắk Mil,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Hòa, Đắk Song",xã Đắk Song,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk R'Moan, Gia Nghĩa",phường Nam Gia Nghĩa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hồng Phong,xã Hòa Thắng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Ea T'ling, Cư Jút",xã Cư Jút,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Mâm, Krông Nô",xã Krông Nô,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Quảng Tín, Đăk R'lấp",xã Quảng Tín,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phan Dũng,xã Tuy Phong,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Buôn Choah, Krông Nô",xã Nam Đà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Quảng Tâm, Tuy Đức",xã Tuy Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Kiến Thành, Đăk R'lấp",xã Kiến Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Ru, Đăk R'lấp",xã Quảng Tín,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Ku Kê,xã Hàm Thuận,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nâm N’Jang, Đắk Song",xã Trường Xuân,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phan Tiến,xã Sông Lũy,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Thuận Hà, Đắk Song",xã Thuận Hạnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đức Hạnh,xã Hoài Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nâm N'Đir, Krông Nô",xã Nâm Nung,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đức Xuyên, Krông Nô",xã Quảng Phú,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Thắng Hải,xã Sơn Mỹ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Dân Hiệp,xã Hàm Thuận Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Lâm,xã Đinh Trang Thượng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Lòng Sông (1),xã Tuy Phong,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hồ Xuân Hương-LS,phường Cam Ly - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đinh Trang Thượng - Di Linh,xã Đinh Trang Thượng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phúc Thọ - Lâm Hà,xã Phúc Thọ Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Liên Đầm,xã Di Linh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Chais 2,xã Lạc Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Pal - Đạ Tẻh,xã Đạ Tẻh 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đại Lào - Bảo Lộc,phường 3 Bảo Lộc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,P'Róh - Đơn Dương,xã Quảng Lập,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Tồn - Đạ Huoai,xã Đạ Huoai,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Nâm Nung,xã Nâm Nung,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Thác Datanla,phường Xuân Hương - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hòa Bắc,xã Hòa Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Đờn - Lâm Hà,xã Phú Sơn Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Ba Bàu (1),xã Hàm Thạnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lạc Xuân - Đơn Dương,xã D'Ran,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đèo Bảo Lộc - Bảo Lộc,phường 3 Bảo Lộc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Nghĩa - Di Linh,xã Bảo Thuận,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hồ Đa Glé,xã Bảo Lâm 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Chais 5,xã Lạc Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đắk Buk So,xã Tuy Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Núi Đất (1),xã Tân Hải,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Sơn Điền PCTT,xã Sơn Điền,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đa Mi,xã La Dạ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Đaguiry (1),xã La Dạ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đưng K'Nớ,xã Đam Rông 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Long,xã Đam Rông 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Di Linh,xã Di Linh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Ngãi,xã Bảo Lâm 1,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Tông 2,xã Đam Rông 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Móng (1),xã Hàm Thạnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phường 7,phường Lang Biang - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Thị trấn Đạ M'Ri - Đạ Huoai,xã Đạ Huoai 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Thạnh Mỹ,xã Đơn Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tiên Hoàng - Cát Tiên,xã Cát Tiên 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hoài Đức - Lâm Hà,xã Tân Hà Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phường 12 - Đà Lạt,phường Lâm Viên - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Khu du lịch cáp treo Đà Lạt,phường Xuân Hương - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Ploa 1,xã Đạ Huoai 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Quao (3),xã Hàm Thuận Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Nhim,xã Lạc Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Quao (2),xã Đông Giang,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Lâm - Bảo Lâm,xã Bảo Lâm 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đập tràn Hàm Thuận,xã Đông Giang,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Thượng - Di Linh,xã Đinh Trang Thượng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Bảo Thuận 2,xã Bảo Thuận,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đắk Lao 2,xã Thuận An,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạo Nghĩa 2,xã Kiến Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Cà Giây (2),xã Phan Sơn,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Hà - Lâm Hà,xã Tân Hà Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Dinh 3 (1),xã Hàm Tân,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Cà Giang (1),phường Bình Thuận,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Quốc Oai - Đạ Tẻh,xã Đạ Tẻh 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phường 3,phường Xuân Hương - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Trạm Hành - TP Đà Lạt,phường Xuân Trường - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Dinh 3 (3),xã Tân Minh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Khán (1),xã Hàm Thuận Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Nhim - Lạc Dương,xã Lạc Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đông Thanh - Lâm Hà,xã Nam Ban Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tà Hine - Đức Trọng,xã Tà Hine,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Tông - Đam Rông,xã Đam Rông 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Tân - Bảo Lâm,phường 2 Bảo Lộc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đăk Sin,xã Quảng Tín,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Xuân Thọ - Đà Lạt,phường Xuân Trường - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hòa Bắc - Di Linh,xã Hòa Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Ka Đô - Đơn Dương,xã Ka Đô,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Quảng Ngãi - Cát Tiên,xã Cát Tiên,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạo Nghĩa,xã Kiến Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đa Quyn - Đức Trọng,xã Tà Năng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đắk Lao 1,xã Thuận An,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hồ Tuyền Lâm - LS,phường Xuân Hương - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đinh Trang Hòa,xã Hòa Ninh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đức Phổ - Cát Tiên,xã Cát Tiên 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phường 10,phường Xuân Hương - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Suối Kiết 4,xã Suối Kiết,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Nhà máy Hàm Thuận,xã La Dạ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Thành,xã Bảo Lâm 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đắk Gằn 2,xã Đắk Mil,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Gia Viễn - Cát Tiên,xã Cát Tiên 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Bảo Lộc,phường B'Lao,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Bảo Thuận - Di Linh,xã Bảo Thuận,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phường 11 - Đà Lạt,phường Cam Ly - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Phan (1),xã Tân Lập,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Ba Bàu (2),xã Hàm Kiệm,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đà Loan - Đức Trọng,xã Tà Hine,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Đủ Đủ (1),xã Hàm Kiệm,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Đập Cô Kiều,xã Sơn Mỹ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Suối Đá (2),xã Hàm Thuận Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Sơn - Bảo Lộc,phường B'Lao,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Ba Bàu (3),xã Hàm Thạnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Nam Ban,xã Nam Ban Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,D'Ran - Đơn Dương,xã D'Ran,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
