Mã trạm,Tên trạm,Tỉnh/Thành phố,Huyện,Vĩ độ,Kinh độ,Dấu thời gian,Nguồn dữ liệu,Chất lượng dữ liệu,Thời gian cập nhật,Nhiệt độ hiện tại,Nhiệt độ tối đa,Nhiệt độ tối thiểu,Nhiệt độ trung bình,Độ ẩm hiện tại,Độ ẩm tối đa,Độ ẩm tối thiểu,Độ ẩm trung bình,Áp suất hiện tại,Áp suất tối đa,Áp suất tối thiểu,Áp suất trung bình,Tốc độ gió hiện tại,Tốc độ gió tối đa,Tốc độ gió tối thiểu,Tốc độ gió trung bình,Hướng gió hiện tại,Hướng gió trung bình,Lượng mưa hiện tại,Lượng mưa tối đa,Lượng mưa tối thiểu,Lượng mưa trung bình,Tổng lượng mưa,Độ che phủ mây hiện tại,Độ che phủ mây tối đa,Độ che phủ mây tổi thiểu,Độ che phủ mây trung bình,Tầm nhìn hiện tại,Tầm nhìn đa,Tầm nhìn tối thiểu,Tầm nhìn trung bình,Xác xuất sấm sét
LS_LL,Huyện Lộc Bình - Lạng Sơn,Lạng Sơn,Lộc Bình,21.75,106.9333,2026-01-24 19:14:46,openmeteo,medium,2026-01-24 19:00:00,11.5,22.7,7.7,16.0,92,100,54,86.3,1020.3,1026.6,1016.4,1019.8,0.4,14.6,0.4,4.6,90,134.6,0,0.0,0,0.0,0.0,52,75,32,43,5,12,6,11,16
CB_CB,Thành phố Cao Bằng - Cao Bằng,Cao Bằng,Cao Bằng,22.6667,106.25,2026-01-24 19:14:49,openmeteo,medium,2026-01-24 19:00:00,10.9,22.2,8.1,15.7,93,99,65,88.8,1020.2,1026.9,1015.5,1019.6,3.9,13.6,0.5,4.1,112,139.7,0,0.0,0,0.0,0.0,24,64,18,39,9,15,3,10,23
CB_BL,Huyện Bảo Lâm - Cao Bằng,Cao Bằng,Bảo Lâm,22.8667,105.5,2026-01-24 19:14:51,openmeteo,medium,2026-01-24 19:00:00,12.3,21.9,10.9,16.2,93,99,68,88.6,1019.4,1025.4,1015.3,1019.2,4.3,11.2,0.0,4.8,185,188.5,0,0.2,0,0.1,1.6,23,82,24,67,15,12,2,12,4
CB_BC,Huyện Bảo Lạc - Cao Bằng,Cao Bằng,Bảo Lạc,22.95,105.7333,2026-01-24 19:14:53,openmeteo,medium,2026-01-24 19:00:00,12.7,23.3,10.3,16.7,91,98,63,84.8,1019.0,1025.5,1014.9,1018.9,3.6,11.9,0.4,5.0,264,207.4,0,0.3,0,0.1,3.0,68,90,25,69,12,11,5,8,7
BK_BK,Thành phố Bắc Kạn - Bắc Kạn,Bắc Kạn,Bắc Kạn,22.15,105.8333,2026-01-24 19:14:55,openmeteo,medium,2026-01-24 19:00:00,12.0,21.0,10.1,16.4,93,97,71,89.7,1020.3,1025.9,1016.6,1019.7,2.6,9.9,0.0,3.5,146,135.4,0,0.4,0,0.1,1.6,77,78,32,46,6,20,4,7,2
BK_BB,Huyện Ba Bể - Bắc Kạn,Bắc Kạn,Ba Bể,22.4167,105.75,2026-01-24 19:14:58,openmeteo,medium,2026-01-24 19:00:00,12.4,21.8,9.9,16.6,95,99,67,89.3,1020.1,1026.1,1016.2,1019.6,3.2,8.5,0.7,4.3,153,160.4,0,0.2,0,0.1,1.8,51,68,34,68,7,12,2,6,23
BK_PT,Huyện Pác Nặm - Bắc Kạn,Bắc Kạn,Pác Nặm,22.6333,105.6667,2026-01-24 19:15:00,openmeteo,medium,2026-01-24 19:15:00,12.0,21.0,10.1,15.9,92,98,71,90.2,1019.8,1025.7,1016.1,1019.4,4.4,9.9,0.8,4.0,171,166.4,0,0.3,0,0.0,0.5,23,64,22,66,11,19,7,6,20
TN_TN,Thành phố Thái Nguyên - Thái Nguyên,Thái Nguyên,Thái Nguyên,21.5928,105.8442,2026-01-24 19:15:02,openmeteo,medium,2026-01-24 19:15:00,13.4,23.8,11.8,17.9,86,100,58,85.5,1020.0,1025.7,1015.6,1019.2,2.2,13.4,0.4,4.9,90,96.5,0,0.2,0,0.0,0.6,26,87,39,44,15,15,2,9,27
TN_SC,Thành phố Sông Công - Thái Nguyên,Thái Nguyên,Sông Công,21.4833,105.85,2026-01-24 19:15:04,openmeteo,medium,2026-01-24 19:15:00,12.5,23.4,11.0,17.5,91,100,65,87.2,1020.1,1025.7,1015.6,1019.3,1.8,11.3,0.4,4.6,101,148.9,0,0.1,0,0.0,1.2,46,78,12,61,14,18,8,9,8
TN_DD,Huyện Định Hóa - Thái Nguyên,Thái Nguyên,Định Hóa,21.9,105.6333,2026-01-24 19:15:07,openmeteo,medium,2026-01-24 19:15:00,11.9,21.5,10.4,16.5,89,98,66,88.6,1020.2,1025.7,1016.0,1019.4,1.8,11.2,0.4,3.7,101,85.0,0,0.1,0,0.0,0.8,36,85,18,66,8,13,3,12,19
TQ_TQ,Thành phố Tuyên Quang - Tuyên Quang,Tuyên Quang,Tuyên Quang,21.8181,105.2144,2026-01-24 19:15:09,openmeteo,medium,2026-01-24 19:15:00,14.0,23.7,12.3,18.2,91,99,61,87.3,1020.0,1025.6,1015.5,1019.1,0.8,13.4,0.4,3.7,117,133.1,0,0.0,0,0.0,0.0,21,73,19,63,15,18,2,12,9
TQ_NH,Huyện Na Hang - Tuyên Quang,Tuyên Quang,Na Hang,22.35,105.3833,2026-01-24 19:15:11,openmeteo,medium,2026-01-24 19:15:00,13.4,22.8,12.1,17.7,91,98,67,89.4,1020.0,1025.7,1016.0,1019.3,3.1,9.1,0.0,2.9,201,179.3,0,0.0,0,0.0,0.0,75,67,27,36,6,19,5,12,15
TQ_LB,Huyện Lâm Bình - Tuyên Quang,Tuyên Quang,Lâm Bình,22.4667,105.2167,2026-01-24 19:15:13,openmeteo,medium,2026-01-24 19:15:00,12.5,21.7,10.9,16.6,93,98,72,90.9,1020.0,1025.7,1015.8,1019.3,1.8,7.2,0.4,2.7,217,157.3,0,0.2,0,0.0,0.3,47,89,25,66,11,12,8,6,16
YB_YB,Thành phố Yên Bái - Yên Bái,Yên Bái,Yên Bái,21.7,104.8667,2026-01-24 19:15:16,openmeteo,medium,2026-01-24 19:15:00,13.9,23.9,12.2,18.1,88,99,65,87.3,1020.0,1025.6,1015.4,1019.1,1.4,13.0,0.5,3.8,90,107.1,0,0.0,0,0.0,0.0,75,61,39,42,6,20,8,12,26
YB_NZ,Thị xã Nghĩa Lộ - Yên Bái,Yên Bái,Nghĩa Lộ,21.6,104.5,2026-01-24 19:15:18,openmeteo,medium,2026-01-24 19:15:00,14.4,21.4,8.8,15.4,79,100,53,81.8,1017.9,1023.7,1015.1,1019.0,8.1,11.0,0.7,4.4,249,187.1,0,0.0,0,0.0,0.0,57,95,21,64,14,11,2,6,2
YB_MT,Huyện Mù Cang Chải - Yên Bái,Yên Bái,Mù Cang Chải,21.85,104.0833,2026-01-24 19:15:20,openmeteo,medium,2026-01-24 19:15:00,15.2,24.4,11.5,17.4,93,100,52,79.7,1018.3,1022.4,1014.9,1018.6,5.9,18.1,1.6,7.3,232,206.4,0,0.0,0,0.0,0.0,64,79,28,50,15,18,3,10,17
PT_VT,Thành phố Việt Trì - Phú Thọ,Phú Thọ,Việt Trì,21.3,105.4333,2026-01-24 19:15:22,openmeteo,medium,2026-01-24 19:15:00,13.8,25.0,12.0,18.3,90,98,66,86.5,1019.9,1025.5,1014.9,1018.9,2.4,16.9,0.5,5.7,117,98.9,0,0.0,0,0.0,0.0,45,95,40,67,14,14,8,9,19
PT_PT,Thị xã Phú Thọ - Phú Thọ,Phú Thọ,Phú Thọ,21.4,105.2333,2026-01-24 19:15:25,openmeteo,medium,2026-01-24 19:15:00,13.5,24.3,11.9,18.0,90,98,64,87.3,1019.9,1025.5,1015.1,1019.0,1.1,18.4,0.5,4.7,162,110.8,0,0.2,0,0.0,0.3,58,82,10,38,7,17,3,10,17
PT_HT,Huyện Hạ Hòa - Phú Thọ,Phú Thọ,Hạ Hòa,21.55,105.0,2026-01-24 19:15:27,openmeteo,medium,2026-01-24 19:15:00,12.3,22.3,10.9,16.7,91,100,69,89.7,1020.1,1025.6,1015.7,1019.2,2.5,9.7,0.4,2.9,82,83.8,0,0.1,0,0.0,0.3,56,86,32,37,6,16,5,6,25
VP_VY,Thành phố Vĩnh Yên - Vĩnh Phúc,Vĩnh Phúc,Vĩnh Yên,21.3089,105.6044,2026-01-24 19:15:29,openmeteo,medium,2026-01-24 19:15:00,13.8,25.1,12.0,18.3,88,99,63,86.7,1019.9,1025.5,1015.0,1019.0,4.4,16.8,0.4,7.7,125,115.7,0,0.0,0,0.0,0.0,49,70,21,33,10,11,7,8,0
VP_PC,Thành phố Phúc Yên - Vĩnh Phúc,Vĩnh Phúc,Phúc Yên,21.2333,105.7,2026-01-24 19:15:31,openmeteo,medium,2026-01-24 19:15:00,13.6,24.9,11.9,18.2,88,98,64,87.0,1019.9,1025.5,1015.2,1019.1,4.3,15.4,1.0,6.7,85,99.4,0,0.1,0,0.0,0.3,65,84,34,50,15,13,2,6,11
VP_LP,Huyện Lập Thạch - Vĩnh Phúc,Vĩnh Phúc,Lập Thạch,21.4167,105.4667,2026-01-24 19:15:34,openmeteo,medium,2026-01-24 19:15:00,14.0,24.6,12.0,18.4,88,96,60,84.2,1019.9,1025.5,1015.2,1019.0,3.1,17.9,0.4,7.2,159,125.5,0,0.0,0,0.0,0.0,31,84,17,67,12,14,4,7,30
BN_BN,Thành phố Bắc Ninh - Bắc Ninh,Bắc Ninh,Bắc Ninh,21.1861,106.0764,2026-01-24 19:15:36,openmeteo,medium,2026-01-24 19:15:00,13.8,24.6,11.7,18.3,88,100,58,86.4,1020.0,1025.5,1015.3,1019.1,3.1,13.9,1.5,5.9,54,118.3,0,0.4,0,0.1,1.6,63,69,29,64,9,16,8,7,18
BN_TS,Thành phố Từ Sơn - Bắc Ninh,Bắc Ninh,Từ Sơn,21.1167,105.9667,2026-01-24 19:15:38,openmeteo,medium,2026-01-24 19:15:00,13.8,24.6,11.7,18.3,88,100,58,86.4,1020.0,1025.5,1015.3,1019.1,3.1,13.9,1.5,5.9,54,118.3,0,0.4,0,0.1,1.6,56,71,10,40,7,12,2,11,6
BN_YL,Huyện Yên Phong - Bắc Ninh,Bắc Ninh,Yên Phong,21.2,105.95,2026-01-24 19:15:40,openmeteo,medium,2026-01-24 19:15:00,13.5,24.4,11.8,18.2,88,100,60,86.5,1020.0,1025.5,1015.3,1019.2,3.7,13.8,0.4,5.3,61,100.7,0,0.3,0,0.1,2.0,68,73,28,69,8,14,6,10,12
HD_HD,Thành phố Hải Dương - Hải Dương,Hải Dương,Hải Dương,20.9397,106.3308,2026-01-24 19:15:43,openmeteo,medium,2026-01-24 19:15:00,14.2,24.4,12.0,18.4,90,100,57,86.8,1020.0,1025.3,1015.8,1019.1,1.8,17.6,0.7,6.6,349,126.0,0,0.1,0,0.0,0.7,72,95,27,68,9,15,6,7,13
HD_CL,Thị xã Kinh Môn - Hải Dương,Hải Dương,Kinh Môn,21.0167,106.5,2026-01-24 19:15:45,openmeteo,medium,2026-01-24 19:15:00,14.6,24.5,12.2,18.4,90,100,56,85.7,1020.0,1025.1,1016.1,1019.2,1.5,16.6,0.4,6.3,284,118.0,0,0.1,0,0.0,0.9,61,67,37,39,15,12,6,7,20
HD_CM,Huyện Cẩm Giàng - Hải Dương,Hải Dương,Cẩm Giàng,20.95,106.2167,2026-01-24 19:15:47,openmeteo,medium,2026-01-24 19:15:00,14.0,24.8,11.8,18.4,89,100,57,86.9,1020.0,1025.4,1015.4,1019.1,3.1,15.2,1.1,6.0,45,121.4,0,0.3,0,0.0,0.9,39,81,15,51,13,14,8,11,0
HY_HY,Thành phố Hưng Yên - Hưng Yên,Hưng Yên,Hưng Yên,20.6461,106.0511,2026-01-24 19:15:49,openmeteo,medium,2026-01-24 19:15:00,14.1,25.1,11.8,18.5,91,100,60,87.5,1019.9,1025.3,1015.2,1019.0,2.9,16.1,0.7,6.2,60,127.5,0,0.1,0,0.0,0.8,69,69,16,56,8,10,5,11,3
HY_ML,Huyện Mỹ Hào - Hưng Yên,Hưng Yên,Mỹ Hào,20.9333,106.0667,2026-01-24 19:15:52,openmeteo,medium,2026-01-24 19:15:00,13.8,24.7,11.7,18.3,90,99,58,87.1,1020.0,1025.3,1015.3,1019.1,2.7,14.4,0.5,6.1,67,126.4,0,0.2,0,0.1,1.8,29,87,36,53,6,11,2,10,26
HY_VD,Huyện Văn Lâm - Hưng Yên,Hưng Yên,Văn Lâm,20.9833,106.0333,2026-01-24 19:15:54,openmeteo,medium,2026-01-24 19:15:00,13.9,24.4,12.0,18.4,88,98,60,86.3,1020.0,1025.4,1015.2,1019.1,3.2,14.6,0.7,6.5,63,116.5,0,0.3,0,0.1,1.7,58,60,34,59,11,19,3,11,7
NB_NB,Thành phố Ninh Bình - Ninh Bình,Ninh Bình,Ninh Bình,20.2539,105.975,2026-01-24 19:15:56,openmeteo,medium,2026-01-24 19:15:00,14.8,24.8,12.4,18.6,91,100,60,87.5,1019.9,1025.0,1015.7,1019.1,1.8,16.3,0.4,4.8,101,112.0,0,0.0,0,0.0,0.0,44,74,20,61,15,14,4,8,16
